level_0,level_1,level_2,level_3,v33,v76,v12,v68,v50,v7,v70,v55,v20,v24,v32,v97,v28,v99,v95,v42,v53,v85,v9,v84,v44,classlabel
v,g,29,5,f,1,0,a,f,280,0,1085,0,y,2,43,f,x,0,2800000,13,p,1,f,f,no.
ff,g,31,92,f,3,4,a,t,200,0,3125,2,u,2,16,t,ff,0,2000000,4,g,0,f,f,no.
v,g,18,83,f,0,165,b,t,200,0,415,1,y,2,79,f,c,t,2000000,1,p,1,f,f,no.
bb,g,26,75,f,2,5,b,f,200,0,45,0,y,5,77,f,c,f,2000000,1210,p,1,f,f,no.
ff,g,27,17,f,0,0,a,t,92,0,125,1,u,2,49,f,ff,t,920000,300,g,0,f,f,no.
v,g,47,17,f,5,5,b,f,465,0,5835,0,u,3,73,f,W,f,4650000,150,g,1,f,f,no.
v,g,23,75,f,0,4,b,t,128,0,415,2,y,2,14,f,c,0,1280000,6,p,0,f,f,no.
v,g,41,58,f,0,21,b,f,160,0,175,0,u,2,15,f,k,0,1600000,0,g,0,t,f,no.
dd,g,26,33,f,0,0,b,f,140,0,13,0,u,2,99,t,e,f,1400000,1110,g,1,f,f,no.
v,s,39,42,f,0,165,b,f,400,0,171,0,y,4,68,f,m,0,4000000,0,p,0,f,f,no.
h,g,35,25,f,3,75,b,f,680,0,3165,0,u,2,85,t,x,f,6800000,0,g,0,t,f,no.
ff,g,18,83,f,0,0,b,f,180,0,354,0,y,4,16,t,ff,f,1800000,1,p,1,f,f,no.
v,g,44,83,f,1,625,b,f,160,0,7,0,y,1,86,f,c,0,1600000,2,p,1,f,f,no.
ff,g,50,75,f,0,0,b,f,145,0,585,0,u,2,92,f,ff,f,1450000,0,g,1,f,f,no.
v,g,19,17,f,1,0,b,f,360,0,4,0,y,2,54,t,i,f,3600000,1000,p,0,f,f,no.
v,g,21,5,f,0,5,b,f,100,0,115,0,u,2,95,t,i,f,1000000,68,g,1,f,t,no.
v,g,20,42,t,1,585,a,t,0,0,835,1,u,3,21,f,q,t,0,0,g,0,t,f,yes.
v,g,44,17,t,7,375,a,t,0,0,6665,3,u,3,49,t,q,t,0,0,g,1,f,t,yes.
n,g,34,75,t,5,375,b,t,0,0,15,9,u,3,57,t,r,0,0,134,g,1,f,t,yes.
v,s,20,5,t,2,5,b,f,40,0,1,0,y,2,71,f,c,0,400000,0,p,0,t,f,yes.
j,s,22,67,t,2,25,b,f,0,0,165,0,u,1,89,t,c,0,0,0,g,1,f,f,yes.
h,g,22,8,t,2,165,b,f,128,0,83,0,u,2,99,t,c,0,1280000,0,g,1,f,f,yes.
v,s,42,83,t,4,58,b,f,0,0,4625,0,u,3,45,f,q,0,0,0,g,0,t,f,yes.
v,g,18,92,t,1,0,a,t,80,0,925,4,y,4,34,t,c,t,800000,500,p,1,f,t,yes.
v,g,20,67,t,0,165,a,t,100,0,3,3,u,3,6,f,q,0,1000000,6,g,0,t,f,yes.
v,g,32,33,t,0,4,a,f,440,0,54,0,u,3,2,f,cc,f,4400000,11177,g,0,t,f,yes.
h,g,28,92,t,5,335,b,t,0,0,15,11,u,4,94,f,c,0,0,2283,g,0,t,f,yes.
v,g,52,83,t,5,5,a,t,0,0,15,14,u,2,55,f,c,0,0,2200,g,1,f,t,yes.
v,g,20,67,t,2,85,a,t,220,0,1835,5,u,3,74,f,q,0,2200000,2503,g,0,t,f,yes.
bb,g,36,25,t,2,5,b,t,0,0,5,6,u,2,74,f,c,0,0,367,g,0,t,f,yes.
h,g,20,33,t,1,0,a,t,50,0,1,4,u,3,74,f,c,0,500000,1465,g,1,f,t,yes.
bb,g,25,75,t,0,25,b,f,349,0,75,0,u,1,77,f,c,f,3490000,23,g,1,f,t,yes.
v,g,28,17,t,0,585,a,t,80,0,375,4,u,2,8,f,q,t,800000,0,g,1,f,t,yes.
v,g,23,92,t,0,165,b,f,100,0,665,0,u,3,4,f,c,0,1000000,0,g,1,f,f,yes.
v,g,20,75,t,0,71,a,t,49,0,1025,2,u,2,85,t,q,t,490000,0,g,0,t,f,yes.
bb,g,30,5,t,4,0,a,t,0,0,65,7,u,3,62,t,c,t,0,3065,g,0,t,f,yes.
v,g,45,83,t,5,0,a,t,0,0,105,7,u,2,9,t,q,t,0,0,g,0,t,f,yes.
v,g,39,0,t,3,5,b,t,0,0,5,10,u,2,47,t,cc,t,0,0,g,1,f,t,yes.
v,g,22,8,t,0,665,b,f,100,0,11,0,u,4,1,f,cc,0,1000000,0,g,0,t,f,yes.
v,g,28,25,t,4,75,b,t,420,0,5125,2,u,2,86,f,x,0,4200000,7,g,0,t,f,yes.
h,g,18,83,t,3,0,a,f,240,0,4415,0,y,4,67,f,c,f,2400000,0,p,1,f,t,yes.
v,g,28,67,t,2,5,a,t,300,0,104,5,u,3,76,t,c,0,3000000,1430,g,0,t,f,yes.
v,g,22,5,t,2,46,a,f,164,0,846,0,y,3,17,f,x,f,1640000,0,p,0,f,f,yes.
v,g,0,0,t,6,5,b,f,0,0,105,0,u,3,78,f,x,f,0,0,g,1,f,t,yes.
ff,g,36,8,f,0,0,b,f,0,0,254,0,u,3,28,f,ff,0,0,1000,g,1,f,f,no.
bb,s,40,83,f,0,5,0,f,1160,0,35,0,u,3,78,f,i,f,11600000,0,g,0,f,f,no.
v,g,20,0,f,0,125,b,f,140,0,125,0,y,2,91,f,k,0,1400000,4,p,0,f,f,no.
h,g,43,25,f,0,21,b,t,760,0,2521,1,u,1,18,f,q,0,7600000,90,g,1,f,t,no.
h,g,52,33,f,9,46,b,f,200,0,1375,0,y,3,48,t,c,0,2000000,100,p,1,f,t,no.
bb,g,19,33,f,0,585,b,t,200,0,10915,2,u,3,98,t,c,0,2000000,7,g,1,f,f,no.
v,g,23,58,f,2,625,b,t,208,0,46,6,y,2,34,t,W,t,2080000,347,p,1,f,t,no.
ff,g,69,17,f,4,0,b,t,70,0,9,1,u,2,21,f,ff,0,700000,6,g,0,f,f,no.
ff,g,24,92,f,0,0,a,f,80,0,125,0,u,2,88,f,ff,f,800000,0,g,1,f,t,no.
ff,g,23,58,f,0,125,a,f,120,0,585,0,y,2,8,f,ff,f,1200000,87,p,1,f,f,no.
v,g,32,0,f,1,25,a,f,272,0,6,0,u,3,45,f,d,0,2720000,0,g,1,f,f,no.
h,g,27,83,f,3,0,b,f,176,0,1,0,y,4,35,f,d,0,1760000,537,p,0,f,f,no.
v,g,29,83,f,0,25,b,f,224,0,125,0,y,4,97,f,k,f,2240000,0,p,1,f,f,no.
v,g,25,67,f,1,5,b,f,160,0,29,0,y,3,3,t,c,f,1600000,0,p,1,f,f,no.
ff,g,31,25,f,0,0,b,t,176,0,2835,5,u,3,3,f,ff,0,1760000,146,g,1,f,f,no.
ff,g,23,8,f,0,85,b,f,100,0,25,0,u,3,57,t,ff,0,1000000,4208,g,1,f,f,no.
v,g,31,0,f,0,85,b,f,300,0,2085,0,u,2,98,f,c,0,3000000,0,g,0,f,f,no.
ff,g,22,17,f,0,0,b,f,100,0,585,0,y,3,21,f,ff,0,1000000,0,p,1,f,f,no.
v,g,0,0,f,0,85,b,f,411,0,4,0,y,3,22,t,i,f,4110000,0,p,1,f,f,no.
v,g,45,17,f,2,5,b,f,140,0,15,0,u,3,58,t,c,0,1400000,0,g,1,f,t,no.
ff,g,24,58,f,0,0,b,f,0,0,135,0,y,3,46,f,ff,f,0,0,p,1,f,f,no.
v,g,33,67,f,1,165,b,f,120,0,125,0,u,3,8,f,W,0,1200000,0,g,1,f,f,no.
bb,s,40,58,f,0,0,b,f,300,0,15,0,u,3,38,f,i,0,3000000,0,g,0,f,f,no.
h,g,16,33,f,0,415,b,f,120,0,4085,0,u,3,14,t,i,0,1200000,0,g,1,f,f,no.
v,g,35,75,f,0,125,b,t,220,0,2415,2,u,4,11,f,W,t,2200000,1,g,1,f,f,no.
ff,g,49,58,f,0,0,b,t,94,0,19,1,u,2,69,f,ff,0,940000,0,g,1,f,t,no.
v,s,30,25,f,5,5,a,f,100,0,55,0,u,3,7,t,k,0,1000000,0,g,1,f,f,no.
v,s,34,67,f,1,165,b,f,28,0,108,0,u,2,63,f,m,f,280000,0,g,1,f,f,no.
v,g,50,25,f,0,5,a,f,240,0,835,0,u,3,52,t,aa,f,2400000,117,g,1,f,f,no.
ff,g,57,58,f,6,5,a,t,0,0,2,1,u,3,95,f,ff,t,0,10,g,0,f,f,no.
v,g,24,83,f,1,0,a,f,360,0,45,0,u,3,52,t,W,f,3600000,6,g,1,f,f,no.
v,g,22,25,f,0,85,b,f,0,0,9,0,u,3,23,f,aa,f,0,0,g,0,f,f,no.
h,g,21,8,f,1,25,b,f,260,0,10085,0,y,3,61,f,e,0,2600000,0,p,1,f,f,no.
h,g,23,58,f,3,0,a,f,20,0,115,0,y,1,28,t,k,f,200000,16,p,1,f,f,no.
v,g,21,5,f,0,25,b,f,140,0,975,0,u,3,68,f,c,0,1400000,0,g,0,t,f,no.
h,g,28,5,t,2,54,a,t,70,0,304,1,y,2,95,f,x,0,700000,0,p,1,f,t,yes.
v,g,19,17,t,1,5,b,f,120,0,95,0,u,4,59,f,W,0,1200000,2206,g,1,f,t,yes.
v,g,21,5,t,2,5,a,t,80,0,6,3,u,5,49,f,aa,t,800000,918,g,1,f,t,yes.
o,p,17,5,t,0,0,b,f,450,0,22,0,l,2,8,t,ff,f,4500000,100000,gg,1,f,f,yes.
v,g,26,67,t,5,25,b,t,211,0,271,1,y,3,91,f,cc,0,2110000,0,p,0,t,f,yes.
bb,g,34,42,t,3,25,b,t,274,0,425,2,u,3,44,f,i,t,2740000,610,g,0,t,f,yes.
ff,g,73,42,t,0,0,b,f,0,0,1775,0,u,2,8,t,ff,f,0,0,g,0,t,f,yes.
h,g,23,0,t,0,5,a,t,300,0,1175,2,u,3,94,t,x,0,3000000,551,g,1,f,t,yes.
v,g,23,8,t,1,85,b,t,60,0,25,11,u,4,3,t,c,0,600000,2184,g,0,t,f,yes.
h,g,19,42,t,1,46,b,t,80,0,65,7,u,3,23,f,W,t,800000,2954,g,0,t,f,yes.
v,g,23,33,t,0,835,b,f,160,0,11625,0,y,3,2,t,W,0,1600000,300,p,1,f,t,yes.
h,g,42,17,t,12,75,b,f,92,0,504,0,u,2,23,t,q,0,920000,0,g,0,t,f,yes.
v,g,21,25,t,1,5,b,f,150,0,15,0,u,2,7,f,W,0,1500000,8,g,1,f,f,yes.
v,g,34,17,t,0,85,b,f,290,0,525,0,u,3,9,t,W,0,2900000,6,g,1,f,f,yes.
v,g,47,75,t,7,875,a,t,0,0,8,6,u,3,7,t,c,t,0,1260,g,0,t,f,yes.
v,g,44,33,t,2,5,a,f,0,0,0,0,u,4,27,f,c,0,0,0,g,1,f,t,yes.
bb,g,39,5,t,6,5,b,t,117,0,425,16,u,3,5,f,c,t,1170000,1210,g,1,f,t,yes.
v,g,41,17,t,0,5,a,t,145,0,65,3,u,5,22,t,q,0,1450000,0,g,1,f,t,yes.
h,g,29,92,t,4,335,b,f,260,0,1835,0,u,2,89,f,c,f,2600000,200,g,1,f,t,yes.
v,g,35,17,t,4,5,b,t,150,0,25,7,u,3,48,f,k,t,1500000,1270,g,0,t,f,yes.
h,g,19,17,t,0,75,a,t,96,0,8585,7,u,2,23,f,cc,0,960000,0,g,1,f,t,yes.
v,g,52,5,t,6,29,b,t,0,0,65,15,u,3,9,f,k,t,0,11202,g,1,f,t,yes.
v,g,39,92,t,0,4,b,t,200,0,621,1,u,3,35,f,q,t,2000000,300,g,0,t,f,yes.
v,g,21,33,t,3,0,b,f,0,0,105,0,u,2,96,t,c,0,0,0,g,0,t,f,yes.
v,g,35,75,t,0,75,a,t,0,0,915,4,u,4,17,f,aa,t,0,1583,g,1,f,t,yes.
z,g,67,75,t,13,0,b,t,0,0,55,1,u,3,83,t,e,t,0,0,g,0,t,f,yes.
h,g,32,67,t,5,25,b,f,154,0,9,0,y,4,34,t,W,f,1540000,0,p,0,t,f,yes.
bb,g,49,5,t,7,585,b,t,0,0,7585,15,u,2,3,t,i,t,0,5000,g,0,t,f,yes.
v,g,21,0,t,1,85,b,t,160,0,3,8,y,2,76,t,d,t,1600000,1,p,1,f,t,yes.
h,g,52,5,f,3,0,a,f,0,0,7,0,u,2,31,f,aa,f,0,0,g,1,f,f,no.
v,g,33,25,f,2,0,a,f,180,0,3,0,y,0,3,f,aa,0,1800000,0,p,1,f,f,no.
dd,g,18,33,f,0,0,b,f,100,0,121,0,y,3,65,f,e,f,1000000,0,p,1,f,f,no.
v,g,29,5,f,0,29,b,t,340,0,58,1,u,4,56,f,W,t,3400000,2803,g,1,f,f,no.
v,g,22,17,f,0,125,b,f,160,0,225,0,u,3,99,f,i,0,1600000,10,g,1,f,f,no.
v,s,22,92,f,0,85,b,f,0,0,17,0,u,1,99,f,m,f,0,0,g,1,f,f,no.
v,g,19,42,f,0,4,b,t,100,0,725,1,u,2,47,f,m,0,1000000,1,g,1,f,f,no.
h,g,26,17,f,1,25,b,f,0,0,125,0,y,1,53,t,k,0,0,17,p,0,f,f,no.
h,g,27,58,f,5,85,b,t,369,0,325,2,y,4,55,t,q,t,3690000,1,p,0,f,f,no.
v,g,16,0,f,0,85,b,t,0,0,3125,1,u,2,99,f,W,0,0,6,g,1,f,f,no.
v,g,28,58,f,0,25,a,t,40,0,375,1,u,2,35,t,c,0,400000,154,g,0,f,f,no.
ff,g,38,75,f,0,0,a,f,76,0,15,0,u,4,2,f,ff,0,760000,0,g,1,f,f,no.
v,g,32,8,f,1,5,b,f,120,0,4,0,y,3,7,t,cc,f,1200000,0,p,1,f,f,no.
v,s,18,25,f,0,25,b,f,280,0,165,0,u,1,8,t,d,0,2800000,0,g,1,f,f,no.
j,g,21,75,t,0,0,a,f,160,0,175,0,y,3,3,f,j,0,1600000,0,p,0,f,f,no.
v,g,18,58,f,0,54,b,f,120,0,571,0,u,3,35,f,d,f,1200000,0,g,0,f,f,no.
v,s,23,0,f,0,5,b,f,320,0,75,0,u,3,48,t,m,f,3200000,0,g,0,f,f,no.
v,g,22,67,f,2,0,a,t,200,0,75,2,u,3,73,t,c,0,2000000,394,g,0,f,f,no.
v,g,33,17,f,3,5,0,f,200,0,225,0,y,2,69,t,cc,f,2000000,141,p,1,f,f,no.
v,g,23,0,f,0,125,b,f,180,0,625,0,y,3,96,f,aa,0,1800000,1,p,0,t,f,no.
v,g,22,25,f,0,125,b,f,280,0,46,0,u,2,12,t,k,0,2800000,55,g,1,f,f,no.
v,g,28,17,f,0,4,0,f,260,0,585,0,u,4,67,f,aa,f,2600000,1004,g,1,f,f,no.
ff,s,53,33,f,0,0,a,f,62,0,165,0,u,2,72,t,ff,f,620000,27,g,1,f,f,no.
v,g,24,5,f,0,0,a,f,120,0,2415,0,y,3,76,f,c,f,1200000,0,p,0,f,f,no.
v,g,25,92,f,0,375,b,t,174,0,875,2,u,3,93,t,k,t,1740000,3,g,0,f,f,no.
v,g,16,33,f,0,665,b,t,80,0,275,1,u,3,2,f,aa,t,800000,21,g,1,f,f,no.
ff,g,49,17,f,0,29,b,f,200,0,229,0,u,2,98,f,ff,0,2000000,3,g,0,f,f,no.
v,g,23,5,f,0,875,a,f,160,0,15,0,u,2,74,t,W,f,1600000,0,g,0,f,f,no.
v,g,19,58,f,1,665,a,f,220,0,665,0,u,2,93,f,W,0,2200000,5,g,1,f,f,no.
v,s,21,17,f,0,5,b,f,0,0,0,0,u,4,17,t,c,f,0,0,g,0,f,f,no.
v,g,38,33,f,0,125,a,f,160,0,4415,0,u,4,0,f,c,f,1600000,0,g,1,f,f,no.
v,g,37,5,f,0,4,b,f,120,0,835,0,u,3,56,f,e,0,1200000,5,g,1,f,f,no.
ff,g,21,8,f,0,0,a,f,0,0,5,0,y,2,61,f,ff,0,0,0,p,1,f,f,no.
v,g,28,0,f,0,75,b,f,300,0,3,0,u,5,93,t,W,0,3000000,67,g,1,f,f,no.
v,g,25,17,f,1,25,b,t,0,0,3,1,u,1,69,f,c,0,0,22,g,0,f,f,no.
v,g,32,92,f,1,75,b,t,720,0,25,2,u,1,71,t,aa,t,7200000,0,g,0,f,f,no.
v,g,22,75,f,0,165,a,f,220,0,6165,0,u,3,66,f,aa,0,2200000,1000,g,1,f,f,no.
v,g,28,25,t,0,96,b,t,396,0,875,3,u,6,5,t,m,t,3960000,0,g,1,f,t,yes.
v,g,34,17,t,1,54,b,t,520,0,154,1,u,2,99,t,cc,0,5200000,50000,g,1,f,t,yes.
h,g,31,92,t,6,4,b,t,311,0,446,3,u,2,6,f,cc,0,3110000,300,g,1,f,t,yes.
v,g,29,5,t,0,54,a,t,380,0,46,4,u,2,89,f,k,0,3800000,500,g,1,f,t,yes.
v,g,23,17,t,0,85,b,f,0,0,0,0,u,5,87,f,cc,f,0,0,g,1,f,t,yes.
ff,s,18,8,t,10,0,a,f,300,0,375,0,l,2,55,t,cc,f,3000000,0,gg,0,f,f,yes.
h,g,24,75,t,1,835,a,t,0,0,3,19,u,2,81,f,q,0,0,500,g,1,f,t,yes.
v,g,20,83,t,0,4,a,f,100,0,3,0,u,3,5,f,aa,f,1000000,0,g,0,t,f,yes.
h,g,28,0,t,4,165,b,t,181,0,2,2,u,4,7,t,k,0,1810000,0,g,0,t,f,yes.
v,g,20,42,t,2,25,b,t,100,0,1835,1,u,3,99,f,c,0,1000000,150,g,0,t,f,yes.
h,g,28,67,t,5,665,b,t,381,0,9335,6,u,2,86,f,q,t,3810000,168,g,1,f,t,yes.
v,g,21,92,t,0,4,b,t,840,0,54,1,y,1,39,t,x,t,8400000,59,p,1,f,t,yes.
h,g,43,25,t,6,0,b,t,80,0,3,11,u,5,2,f,q,0,800000,0,g,0,t,f,yes.
v,g,20,42,t,1,625,b,t,200,0,7,3,u,2,7,f,c,0,2000000,1391,g,0,t,f,yes.
h,g,42,0,t,5,125,b,f,400,0,205,0,u,2,83,f,i,0,4000000,0,g,1,f,t,yes.
v,g,23,42,t,1,5,a,t,80,0,79,2,y,3,54,t,q,0,800000,400,p,0,t,f,yes.
h,g,25,17,t,0,875,a,f,360,0,2875,0,u,3,74,f,x,0,3600000,0,g,0,t,f,yes.
v,g,24,83,t,2,25,b,t,0,0,275,6,u,2,1,f,c,0,0,600,g,1,f,t,yes.
